pipeline_name,input_records,output_records,data_size_mb,execution_time_min,expected_time_min,cpu_utilization,memory_utilization,source_delay_min,retry_count,previous_run_duration,previous_failure_count,worker_count,day_of_week,hour,pipeline_failed
orders_daily,1055575,1062893,1875.5,27.85,28,51.9,78.9,0.1,2,27.92,0,4,Thursday,3,0
sales_daily,606540,620555,881.0,25.88,30,20.1,48.7,8.7,0,17.45,0,4,Sunday,6,0
orders_daily,964744,979791,1740.3,26.34,28,46.7,89.1,1.0,0,20.38,0,4,Saturday,3,0
sales_daily,935785,939841,2095.0,22.64,30,26.8,71.9,4.4,0,16.36,0,4,Monday,3,0
products_daily,242609,250384,422.2,15.59,18,15.0,20.0,17.3,0,14.57,0,2,Sunday,10,0
orders_daily,795643,779237,1144.7,39.77,28,75.8,69.9,3.4,0,43.56,0,4,Thursday,5,0
orders_daily,755425,753562,1451.8,29.19,28,47.6,68.9,2.0,0,25.2,0,8,Tuesday,4,0
sales_daily,923619,938769,1756.9,34.03,30,45.9,52.8,10.5,0,29.34,0,6,Tuesday,17,1
products_daily,295843,301184,675.1,12.58,18,17.3,35.7,14.4,0,12.96,0,4,Wednesday,4,0
products_daily,280749,292807,588.3,26.12,18,66.4,91.2,2.0,3,21.01,0,4,Wednesday,5,1
products_daily,223099,224470,410.4,20.97,18,54.9,27.8,1.0,0,20.76,0,8,Sunday,13,0
orders_daily,887869,908521,1447.3,26.4,28,22.0,53.8,0.6,0,23.8,0,2,Wednesday,4,0
inventory_daily,443241,458937,934.7,30.92,22,64.6,69.8,9.4,0,27.18,0,6,Saturday,19,0
orders_daily,943801,977761,1730.8,19.8,28,36.4,73.7,4.4,0,18.71,0,4,Thursday,21,0
sales_daily,617125,620854,1041.2,49.56,30,96.2,81.2,13.8,0,38.58,0,4,Friday,4,1
payments_daily,362453,352561,968.2,30.81,32,31.5,51.7,8.9,1,32.6,0,6,Friday,0,0
inventory_daily,456104,460789,562.4,16.5,22,28.9,28.3,4.4,1,14.3,0,4,Sunday,6,0
orders_daily,675126,681461,1046.9,24.21,28,30.7,46.8,2.5,2,20.49,0,4,Sunday,5,0
inventory_daily,367271,363541,748.6,16.88,22,34.6,41.6,9.5,0,15.23,0,4,Monday,23,0
inventory_daily,382297,368323,675.6,26.82,22,72.3,57.6,9.5,0,27.03,0,6,Friday,10,0
products_daily,287616,286962,523.0,16.51,18,56.6,54.6,2.5,0,13.08,1,6,Friday,23,0
payments_daily,358469,357258,753.8,20.28,32,15.0,44.6,0.5,0,17.19,0,6,Sunday,16,0
sales_daily,843171,827864,1491.4,21.44,30,25.5,46.8,1.2,3,16.86,1,2,Saturday,8,0
customer_daily,689981,681357,1516.2,17.44,25,20.5,56.9,23.1,3,13.44,0,4,Tuesday,7,0
orders_daily,763465,781050,1418.8,34.43,28,64.4,84.0,25.3,1,31.18,0,6,Sunday,4,0
products_daily,363504,364776,559.7,19.37,18,50.5,43.9,1.9,0,14.98,0,4,Wednesday,15,0
products_daily,273466,274309,600.6,14.31,18,23.1,20.7,1.2,0,14.51,0,4,Wednesday,22,0
payments_daily,381510,366630,600.2,29.3,32,53.0,33.7,11.3,1,29.36,0,6,Thursday,2,0
products_daily,290150,292082,657.7,17.81,18,35.2,44.2,10.1,0,17.31,0,2,Sunday,5,0
customer_daily,698830,691194,1240.6,22.73,25,37.9,48.2,2.7,0,27.8,0,6,Tuesday,4,0
customer_daily,622137,628005,1031.9,21.94,25,41.5,55.1,13.9,0,20.43,0,8,Tuesday,13,0
customer_daily,701172,712632,1390.7,21.92,25,28.9,46.0,2.8,0,21.8,0,4,Thursday,5,0
orders_daily,898670,908745,1544.6,40.81,28,68.5,80.9,2.1,0,34.01,0,6,Saturday,3,0
orders_daily,1046491,1058115,2064.3,25.22,28,49.0,80.5,7.2,0,18.97,0,6,Tuesday,5,0
orders_daily,752636,755687,1205.8,39.67,28,83.7,81.4,10.4,2,40.2,0,6,Sunday,0,0
payments_daily,226107,227498,544.6,29.51,32,58.8,44.0,4.1,1,22.84,0,2,Wednesday,4,0
inventory_daily,402664,416909,741.3,25.24,22,63.0,44.6,9.8,1,25.28,1,2,Monday,6,0
customer_daily,788959,810414,1510.3,31.56,25,53.7,79.7,12.5,1,28.83,0,4,Tuesday,4,0
sales_daily,775270,786865,1593.9,30.28,30,31.1,67.5,2.5,0,28.95,0,4,Saturday,7,0
inventory_daily,509206,504428,829.2,20.22,22,23.6,40.5,2.1,0,17.51,1,6,Wednesday,12,0
customer_daily,513027,505297,854.1,28.81,25,42.4,62.0,1.8,0,32.43,0,4,Tuesday,0,0
products_daily,303933,317180,448.0,16.58,18,46.5,40.8,0.8,2,15.78,0,6,Thursday,9,0
inventory_daily,397718,380130,667.8,21.27,22,48.8,54.5,2.9,0,18.64,0,6,Thursday,19,0
orders_daily,742359,730460,1654.4,33.27,28,51.7,84.2,10.2,1,28.38,2,4,Tuesday,14,0
inventory_daily,459751,458849,699.9,19.26,22,39.2,27.3,7.7,0,16.46,1,4,Wednesday,20,0
orders_daily,980117,982298,1500.1,36.92,28,76.3,93.2,2.6,2,38.92,0,6,Sunday,5,0
sales_daily,888295,878807,1459.5,32.31,30,63.9,45.5,1.3,1,33.83,0,2,Monday,11,0
sales_daily,892647,875898,1369.7,29.93,30,56.3,64.3,2.7,0,32.17,0,2,Sunday,2,0
payments_daily,238834,238546,263.4,34.48,32,45.9,46.8,8.2,3,26.93,1,4,Saturday,13,0
sales_daily,798933,773431,1675.2,23.75,30,36.2,60.3,5.9,0,22.0,0,4,Thursday,13,0
sales_daily,768514,756066,1773.0,36.74,30,59.2,69.5,20.0,0,42.36,0,4,Sunday,19,0
orders_daily,624207,619396,1009.1,30.37,28,48.6,65.7,2.2,0,26.07,0,2,Friday,0,0
sales_daily,802557,779278,1436.5,46.77,30,89.1,95.5,16.2,0,36.51,0,6,Tuesday,21,0
customer_daily,617444,601640,1248.8,28.27,25,55.3,79.9,12.0,0,24.46,0,8,Friday,0,0
sales_daily,881844,914074,1795.9,27.72,30,27.5,79.1,7.2,0,22.92,0,4,Sunday,2,0
sales_daily,812999,797688,1222.5,23.33,30,15.0,48.9,3.1,0,18.5,1,2,Saturday,4,0
inventory_daily,445067,438950,777.9,19.17,22,35.6,44.5,9.7,0,16.98,0,4,Saturday,20,0
orders_daily,1066637,1054401,2202.7,34.14,28,88.9,99.0,11.3,0,30.73,0,4,Sunday,5,0
inventory_daily,277876,285512,618.3,23.1,22,46.0,43.8,8.5,0,22.12,0,4,Friday,4,0
customer_daily,641645,649784,982.2,18.39,25,15.6,49.8,7.1,0,14.32,0,4,Thursday,15,0
sales_daily,517879,523215,993.1,21.5,30,23.6,45.2,19.0,0,19.93,1,4,Monday,0,0
sales_daily,654049,648907,985.9,40.0,30,71.1,59.3,0.9,0,38.45,1,4,Sunday,3,0
orders_daily,994466,997818,1959.3,27.18,28,38.4,82.3,4.1,0,21.7,0,8,Wednesday,16,0
customer_daily,484354,477096,786.4,24.61,25,54.1,67.5,1.1,0,17.48,1,4,Sunday,5,0
customer_daily,464916,449935,978.2,23.89,25,48.2,64.1,8.2,3,16.94,0,4,Wednesday,11,0
inventory_daily,738194,768031,1167.9,23.08,22,58.7,68.5,9.1,0,24.23,0,4,Sunday,11,0
orders_daily,655327,652783,1279.9,32.07,28,43.9,70.9,11.5,0,36.17,0,4,Tuesday,4,0
inventory_daily,665052,650109,1382.0,19.84,22,44.3,49.6,1.2,0,16.4,2,4,Friday,2,0
sales_daily,772447,774269,1453.1,37.94,30,65.5,93.1,1.5,0,,0,8,Monday,3,0
inventory_daily,447517,446424,787.4,16.62,22,24.5,59.2,10.2,0,12.79,0,8,Saturday,4,0
customer_daily,723682,737108,1317.7,32.88,25,68.5,93.0,0.7,1,27.62,0,4,Sunday,7,0
products_daily,380195,382414,596.8,19.48,18,55.3,54.9,3.7,2,17.65,0,4,Thursday,17,0
inventory_daily,385393,374729,868.7,17.27,22,32.7,37.4,7.3,0,15.02,0,6,Sunday,20,0
sales_daily,718360,708007,1116.0,41.09,30,88.3,68.8,3.9,3,41.85,0,2,Tuesday,6,0
sales_daily,935499,954332,1937.1,32.6,30,36.3,81.6,0.7,0,,0,4,Saturday,11,0
inventory_daily,528799,532072,769.0,26.87,22,65.0,49.8,2.6,0,24.1,1,8,Sunday,10,1
customer_daily,793249,800323,1380.0,16.42,25,17.5,58.2,5.9,1,15.76,0,8,Sunday,2,0
inventory_daily,551511,552021,1072.6,18.83,22,52.8,61.3,3.0,0,13.93,0,4,Monday,11,0
inventory_daily,680822,682317,1377.8,20.95,22,40.9,58.9,11.6,0,16.74,0,4,Wednesday,2,0
orders_daily,932145,903621,1548.2,28.3,28,57.3,68.3,11.0,0,26.07,0,4,Thursday,5,0
payments_daily,365526,370317,783.4,37.84,32,47.1,,2.1,1,37.04,0,4,Tuesday,0,0
customer_daily,691823,671902,1069.7,29.89,25,64.2,52.8,3.8,0,21.38,0,2,Wednesday,6,0
orders_daily,874352,882168,1675.4,17.59,28,16.0,59.6,3.6,0,18.56,0,2,Saturday,5,0
inventory_daily,584808,552232,985.1,19.44,22,46.0,54.5,6.4,0,13.36,0,2,Sunday,17,0
sales_daily,837926,829178,1409.9,27.44,30,38.6,70.3,8.2,0,27.64,0,6,Thursday,0,0
inventory_daily,578818,570825,1049.4,23.8,22,53.7,65.2,10.8,0,22.13,0,4,Monday,7,0
orders_daily,1070009,1094136,1711.8,33.85,28,70.8,78.5,0.8,0,26.72,0,4,Wednesday,12,0
customer_daily,705699,723659,1122.2,29.64,25,47.6,61.4,6.4,0,25.3,0,4,Wednesday,2,0
sales_daily,880274,866951,1730.9,35.81,30,56.3,63.8,4.0,0,36.01,1,6,Thursday,9,0
inventory_daily,398967,394496,747.1,20.66,22,38.0,42.0,9.8,0,18.54,0,4,Friday,4,0
products_daily,266978,277573,683.8,20.33,18,61.0,49.1,7.4,0,23.94,0,4,Monday,8,0
products_daily,350603,340669,803.0,12.62,18,43.3,32.0,5.0,0,8.87,0,4,Monday,5,0
inventory_daily,642363,642875,1135.1,24.55,22,52.7,78.4,2.4,0,23.27,0,2,Sunday,23,0
products_daily,183574,186948,278.9,24.54,18,82.6,56.5,0.3,2,24.8,0,8,Wednesday,3,0
inventory_daily,443213,456074,865.9,16.09,22,30.2,36.0,0.9,0,14.3,0,4,Saturday,13,0
payments_daily,351653,357321,594.8,31.76,32,34.5,43.7,2.8,0,34.48,0,4,Wednesday,20,0
payments_daily,288450,294924,596.1,40.83,32,67.1,,1.5,1,33.65,0,8,Tuesday,16,0
customer_daily,543072,548673,946.9,28.98,25,62.5,,4.5,1,21.86,0,6,Thursday,13,0
orders_daily,985485,997513,1912.2,36.17,28,60.6,91.0,11.1,0,35.36,1,6,Monday,4,0
sales_daily,1053020,1053687,2147.5,31.71,30,61.0,88.6,3.6,0,31.8,0,4,Saturday,19,0
inventory_daily,296817,297876,600.5,29.52,22,72.2,53.8,1.2,0,21.56,0,2,Wednesday,4,0
orders_daily,869314,856936,1725.7,31.49,28,42.1,77.1,2.4,3,36.62,0,2,Tuesday,4,0
orders_daily,983390,978071,1684.9,27.24,28,39.7,61.5,5.0,1,23.37,0,4,Tuesday,2,0
payments_daily,404614,415822,611.3,33.73,32,49.5,44.1,7.3,2,26.22,0,6,Tuesday,4,0
products_daily,319147,323991,591.4,21.46,18,73.1,63.9,18.0,0,19.69,0,2,Sunday,3,0
orders_daily,1217052,1183694,1997.3,27.38,28,41.5,96.8,0.9,0,27.55,0,2,Monday,6,0
customer_daily,653757,656868,1056.8,23.85,25,62.9,59.3,2.3,0,22.54,0,2,Sunday,5,0
inventory_daily,631199,636731,1041.7,21.97,22,65.6,71.0,0.5,0,18.53,0,6,Tuesday,5,0
payments_daily,304754,306101,712.7,22.65,32,28.8,39.2,1.3,0,21.9,0,6,Saturday,23,0
orders_daily,910436,892553,1697.4,21.37,28,45.5,71.4,3.5,0,15.97,1,6,Sunday,10,0
products_daily,227237,229663,338.1,13.96,18,24.0,35.6,2.6,1,11.04,0,4,Monday,4,0
customer_daily,767112,765958,1257.0,27.76,25,54.4,73.6,1.6,0,26.22,0,4,Monday,23,0
sales_daily,780729,774440,1371.3,42.47,30,61.4,64.9,1.6,0,36.16,0,4,Wednesday,4,0
orders_daily,964407,997263,1434.5,24.23,28,41.8,72.5,3.5,0,24.01,0,4,Saturday,4,0
inventory_daily,468663,486391,1043.5,21.94,22,41.7,61.3,0.1,0,19.98,0,8,Saturday,3,0
orders_daily,1005557,994115,2242.7,29.58,28,63.2,88.7,18.8,0,18.05,1,4,Wednesday,7,0
sales_daily,863589,873896,1502.8,19.39,30,26.6,60.2,6.2,2,19.66,0,6,Monday,4,0
sales_daily,640855,635039,1050.5,31.84,30,45.2,58.6,3.8,0,31.64,0,6,Friday,6,0
inventory_daily,406323,412364,755.8,28.13,22,58.7,70.6,2.7,2,32.22,0,4,Monday,5,0
payments_daily,348056,339192,878.8,26.74,32,53.5,57.4,30.7,0,29.12,0,4,Wednesday,5,0
sales_daily,905531,890543,2090.0,29.18,30,30.8,88.3,1.0,0,25.91,0,4,Tuesday,0,0
payments_daily,480402,474952,1031.9,37.31,32,44.8,72.5,4.8,1,36.38,0,8,Sunday,12,0
customer_daily,689388,706029,1498.7,20.77,25,29.8,65.1,2.8,3,17.74,1,8,Friday,1,1
inventory_daily,600753,595177,1198.8,21.81,22,43.7,61.3,3.4,0,17.72,0,4,Sunday,23,0
orders_daily,609686,612282,1154.9,33.52,28,45.3,77.0,1.6,1,29.65,0,2,Saturday,4,0
sales_daily,1122072,1170130,2159.9,20.24,30,34.9,77.5,1.4,0,21.22,0,6,Sunday,17,0
sales_daily,896909,911424,1685.7,31.63,30,52.2,81.7,2.1,0,30.56,0,6,Friday,6,0
payments_daily,346527,346986,582.6,28.69,32,67.7,52.2,1.1,0,32.73,0,4,Tuesday,2,0
inventory_daily,483530,489427,855.8,26.83,22,76.2,82.1,2.9,0,32.25,0,4,Tuesday,3,0
inventory_daily,389280,388574,735.2,31.76,22,63.8,72.3,3.5,0,26.92,0,4,Tuesday,12,0
products_daily,250722,246497,314.1,13.55,18,34.4,22.9,3.9,0,12.95,0,6,Tuesday,5,0
sales_daily,1105669,1096100,2191.6,22.3,30,22.1,94.2,5.8,1,22.48,0,4,Thursday,7,0
sales_daily,641759,645054,1333.2,26.07,30,28.0,68.0,0.8,0,21.86,0,6,Monday,11,0
products_daily,239503,237119,373.6,20.26,18,47.6,48.8,3.4,0,16.25,0,6,Wednesday,5,0
payments_daily,300844,294035,710.4,31.57,32,38.0,43.4,7.9,2,31.66,0,6,Saturday,14,0
orders_daily,684327,701862,1376.9,38.25,28,62.7,84.6,4.4,2,39.59,0,6,Thursday,4,0
orders_daily,902755,942554,1577.0,21.28,28,20.9,57.2,3.0,1,21.2,0,4,Sunday,4,0
sales_daily,974225,959883,1494.0,25.12,30,49.8,72.2,9.7,0,26.2,0,8,Friday,12,0
payments_daily,307265,301134,502.0,46.42,32,82.5,65.5,23.8,0,31.74,0,2,Wednesday,4,0
orders_daily,652801,643571,1038.6,27.23,28,38.8,44.6,12.0,0,22.25,1,2,Thursday,2,0
orders_daily,952535,961638,1525.5,42.23,28,81.3,84.5,2.7,1,34.5,0,6,Friday,18,0
payments_daily,346095,348232,596.5,37.42,32,68.1,65.0,1.2,0,34.08,0,4,Tuesday,6,0
orders_daily,1080490,1063683,1818.6,28.97,28,48.2,84.1,5.5,0,33.27,0,8,Monday,11,0
orders_daily,818188,814012,1641.2,31.65,28,40.4,99.0,0.8,0,29.52,0,2,Thursday,19,0
customer_daily,616179,639457,901.6,17.49,25,32.6,40.3,4.1,3,19.65,0,4,Wednesday,23,0
products_daily,291028,284872,663.7,23.14,18,65.1,76.9,7.0,0,20.82,0,4,Wednesday,3,0
payments_daily,356230,351160,759.4,34.2,32,46.4,44.9,5.3,0,33.26,0,8,Wednesday,1,0
inventory_daily,460743,471433,846.2,14.73,22,15.0,35.6,14.1,0,12.54,0,4,Saturday,3,0
products_daily,266721,269105,549.1,18.14,18,76.8,44.5,7.4,1,13.35,0,4,Wednesday,3,0
inventory_daily,314962,308907,456.9,20.96,22,31.3,28.6,22.1,3,24.98,0,4,Monday,4,0
inventory_daily,443461,448640,677.2,27.61,22,59.0,61.0,11.6,1,23.07,0,4,Thursday,5,0
products_daily,342913,342154,581.3,15.69,18,39.7,43.8,0.8,1,14.18,0,4,Friday,0,0
payments_daily,409517,404392,744.2,34.8,32,48.1,62.8,7.7,0,28.99,0,2,Saturday,1,0
sales_daily,724621,724772,1073.2,26.17,30,46.9,55.7,,0,22.43,0,6,Wednesday,8,0
payments_daily,440964,433120,666.4,20.91,32,21.1,31.4,5.8,1,20.08,1,6,Sunday,13,0
payments_daily,347990,343310,790.9,23.97,32,33.4,55.7,4.6,0,16.35,0,4,Saturday,20,0
orders_daily,659187,645821,1062.0,27.29,28,43.1,52.6,2.2,0,27.92,1,2,Saturday,5,0
inventory_daily,334761,328218,700.4,20.41,22,59.8,52.1,11.6,0,18.0,0,4,Sunday,6,0
inventory_daily,621825,610891,1530.5,23.71,22,43.9,82.5,1.5,0,17.97,0,4,Sunday,8,0
inventory_daily,462699,440484,832.0,20.03,22,28.0,43.0,7.2,0,20.29,0,2,Friday,23,0
sales_daily,605749,619387,1103.2,24.15,30,31.7,48.9,6.5,0,23.99,0,2,Friday,3,0
customer_daily,356294,356620,733.1,23.6,25,47.1,42.3,9.0,0,27.27,0,4,Tuesday,18,0
sales_daily,736685,736163,1080.0,21.18,30,23.0,34.1,8.2,0,20.81,0,2,Wednesday,3,0
payments_daily,378332,390311,686.6,31.41,32,47.8,33.9,1.1,3,22.82,0,4,Friday,22,0
products_daily,258138,261055,549.8,11.39,18,17.8,20.0,6.8,0,9.67,0,2,Saturday,22,0
customer_daily,513078,497043,1005.2,26.74,25,51.0,54.1,0.8,0,24.56,0,4,Sunday,5,0
payments_daily,311543,312449,586.4,34.6,32,48.8,26.3,7.2,0,31.72,0,4,Saturday,8,0
customer_daily,811614,779102,1589.5,31.96,25,58.8,79.3,3.7,0,31.65,0,6,Thursday,4,0
orders_daily,649263,646941,1086.8,25.28,28,29.1,,1.4,1,16.24,0,4,Monday,4,0
products_daily,261497,264791,506.8,20.45,18,48.8,70.4,3.6,1,21.46,0,8,Friday,4,0
inventory_daily,621075,628078,1038.1,15.7,22,20.6,35.4,5.9,0,14.89,0,4,Sunday,11,0
orders_daily,988951,974688,1656.2,29.69,28,63.2,69.1,7.7,1,28.08,0,6,Sunday,16,0
payments_daily,362538,345321,683.7,27.66,32,25.0,56.9,1.5,3,25.21,0,4,Tuesday,6,0
orders_daily,783279,803983,1729.3,25.01,28,32.3,71.3,4.1,1,25.08,1,8,Thursday,4,0
sales_daily,804880,835612,1274.3,41.48,30,74.9,84.9,2.9,1,37.78,0,4,Monday,10,0
sales_daily,713947,719447,1230.0,25.51,30,43.0,71.3,1.3,1,,0,2,Tuesday,6,0
sales_daily,662498,656868,1085.8,32.99,30,57.7,65.9,43.4,1,34.36,0,4,Thursday,3,0
customer_daily,509592,499028,723.0,25.04,25,33.3,50.5,1.1,0,21.35,0,6,Wednesday,3,0
orders_daily,1041137,1047298,1988.7,33.49,28,68.9,96.4,0.6,0,35.49,0,6,Tuesday,5,0
sales_daily,790335,778100,1525.7,24.06,30,38.0,70.2,5.1,2,23.06,0,4,Tuesday,4,0
customer_daily,690886,690618,1284.8,18.56,25,19.1,52.2,5.7,0,17.09,2,6,Sunday,5,0
sales_daily,824267,841629,1373.4,23.45,30,24.3,71.4,3.3,0,26.98,0,2,Thursday,2,0
sales_daily,870547,870332,1228.0,22.11,30,23.5,51.6,6.2,0,17.33,0,6,Sunday,18,0
sales_daily,759244,769870,1244.7,27.7,30,42.2,68.3,3.8,0,25.75,1,6,Wednesday,13,0
inventory_daily,451834,457931,857.2,21.24,22,60.6,39.0,4.3,0,25.44,0,2,Sunday,21,0
customer_daily,544013,541998,915.2,28.34,25,70.7,40.8,6.1,0,22.97,0,6,Saturday,8,0
sales_daily,573764,593439,829.7,33.7,30,70.0,54.0,2.0,0,28.39,0,4,Sunday,4,0
inventory_daily,387796,388411,873.9,16.14,22,26.0,31.8,8.6,0,18.92,0,8,Wednesday,10,0
orders_daily,834224,843912,1421.6,31.01,28,56.1,71.5,2.9,0,20.79,0,6,Thursday,11,0
payments_daily,237787,239543,309.2,27.56,32,36.2,41.2,2.8,0,23.95,0,6,Tuesday,19,0
